nome_produto,preco_formatado,link_produto
Mesas de jantares sem vidro             ,"R$ 500,00",https://ma.olx.com.br/regiao-de-sao-luis/moveis/mesas/mesas-de-jantares-sem-vidro-1424071977
Mesas de madeira com estrutura de ferro ,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-de-ferro-1424049870
Mesas de Vidro e Madeira                ,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-vidro-e-madeira-1424048937
Mesas de madeira com estrutura metálica ,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-metalica-1424047535
Mesas de madeira com estrutura de metal ,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-de-metal-1424047407
Mesas de madeira com estrutura metálica ,"R$ 350,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-metalica-1424047239
Mesas de centro                         ,"R$ 2.000,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-centro-1424034287
Mesas dobráveis de Paraju               ,"R$ 380,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-dobraveis-de-paraju-1424032295
Mesas de Canto Clássica em Madeira      ,"R$ 300,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-de-canto-classica-em-madeira-1424031227
Mesas  cadeiras de fábrica              ,"R$ 799,00",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/moveis/mesas/mesas-cadeiras-de-fabrica-1324526891
Mesas de Canto com Tampo de Vidro       ,"R$ 1.100,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-de-canto-com-tampo-de-vidro-1424027403
Mesas de canto com tampo de vidro       ,"R$ 150,00",https://sp.olx.com.br/grande-campinas/moveis/mesas/mesas-de-canto-com-tampo-de-vidro-1424026465
mesas novas sextavadas 4 cadeiras direto da fábrica-entregamos em casa-parcelamos cartões,"R$ 550,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-novas-sextavadas-4-cadeiras-direto-da-fabrica-entregamos-em-casa-parcelamos-cartoes-1210786088
Mesas para máquinas de costura de todos os modelos,"R$ 300,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-para-maquinas-de-costura-de-todos-os-modelos-1424016912
Mesa de jantar +kits com 2 mesas de apoio,"R$ 350,00",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/moveis/mesas/mesa-de-jantar-kits-com-2-mesas-de-apoio-1407658418
Mesas de cabeceira modernas             ,"R$ 200,00",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/moveis/mesas/mesas-de-cabeceira-modernas-1424000394
Mesas de Aço Resistentes e Duráveis Mesas de inox,"R$ 380,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-aco-resistentes-e-duraveis-mesas-de-inox-1423998494
duas mesas tipo restaurante             ,"R$ 199,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/duas-mesas-tipo-restaurante-1340346143
Mesas de Canto/Apoio Design Moderno - Par,"R$ 380,00",https://sc.olx.com.br/florianopolis-e-regiao/moveis/mesas/mesas-de-canto-apoio-design-moderno-par-1423988776
"MESAS INFANTIS DOBRÁVEIS - BRANCAS (50,00 CADA)","R$ 50,00",https://rj.olx.com.br/norte-do-estado-do-rio/moveis/mesas/mesas-infantis-dobraveis-brancas-50-00-cada-1423983465
